Distance(cm)	MnO(Wt%)
0.00000	6.127
0.00248	6.134
0.00757	6.162
0.01004	6.021
0.01252	6.018
0.01747	6.073
0.01995	5.865
0.02242	5.733
0.02738	5.617
0.02985	5.566
0.03233	5.502
0.03480	5.347
0.03728	5.227
0.03976	5.127
0.04223	4.818
0.04471	4.512
0.04718	4.135
0.04966	3.813
0.05213	3.434
0.05461	3.070
0.05709	2.687
0.05956	2.277
0.06204	1.982
0.06451	1.666
0.06947	1.131
0.07937	0.376
0.08680	0.157
0.08927	0.198
