Final Radius(cm)	Core MnO (Wt %)
0.02300	0.477
0.03020	0.472
0.03000	0.467
0.02765	0.461
0.02515	0.459
0.02900	0.457
0.02680	0.456
0.02915	0.451
0.03080	0.451
0.02310	0.450
0.02385	0.447
0.02645	0.431
0.02585	0.429
0.02665	0.428
0.02667	0.425
0.02575	0.416
0.02690	0.414
0.03035	0.408
0.02420	0.399
0.02445	0.392
0.02311	0.391
0.02960	0.386
0.01965	0.381
0.02567	0.380
0.02750	0.373
0.02370	0.370
0.02795	0.366
0.02470	0.364
0.02665	0.364
0.02930	0.356
0.02235	0.350
0.02580	0.349
0.02315	0.331
0.02877	0.331
0.02246	0.331
0.02390	0.326
0.03345	0.324
0.02330	0.324
0.02267	0.318
0.02169	0.313
0.02250	0.307
0.02235	0.305
0.02115	0.299
0.01735	0.289
0.01985	0.285
0.02405	0.281
0.02495	0.278
0.01745	0.267
0.01995	0.265
0.02070	0.263
0.01780	0.257
0.02255	0.252
0.02357	0.251
0.02390	0.249
0.03168	0.249
0.03173	0.245
0.01225	0.242
0.01770	0.241
0.01980	0.238
0.01720	0.237
0.02225	0.236
0.01860	0.230
0.01375	0.227
0.02250	0.218
0.01935	0.216
0.01815	0.210
0.01625	0.208
0.01435	0.207
0.01781	0.206
0.01720	0.199
0.01720	0.199
0.01120	0.191
0.01560	0.184
0.01560	0.183
0.01215	0.183
0.01380	0.181
0.01413	0.179
0.01465	0.178
0.01410	0.177
0.01560	0.177
0.01960	0.174
0.01545	0.166
0.01530	0.162
0.01240	0.159
0.01520	0.159
0.01315	0.155
0.01235	0.152
0.01500	0.150
