Porphyroblast growth histories for: 
C:\Users\Eric\xllize1.4\runsPM3\PM3_151028_2242\PM3_151028_2242
Xl Num	X	Y	Z	0.000000	0.250000	0.500000	0.750000	1.00000	1.25000	1.50000	1.75000	2.00000	2.25000	2.50000	2.75000	3.00000	3.25000	3.50000	3.75000	4.00000	4.25000	4.50000	4.75000	5.00000	5.25000	5.50000	5.75000	6.00000	6.25000	6.50000	6.75000	7.00000	7.25000	7.50000	7.75000	8.00000	8.25000	8.50000	8.75000	9.00000	9.25000	9.50000	9.75000	10.0000	10.2500	10.5000	10.7500	11.0000	11.2500	11.5000	11.7500	12.0000	12.2500	12.5000	12.7500	13.0000	13.2500	13.5000	13.7500	14.0000	14.2500	14.5000	14.7500	15.0000	15.2500	15.5000	15.7500	16.0000	16.2500	16.5000	16.7500	17.0000	17.2500	17.5000	17.7500	18.0000	18.2500	18.5000	18.7500	19.0000	19.2500	19.5000	19.7500	20.0000	20.2500	20.5000	20.7500	21.0000	21.2500	21.5000	21.7500	22.0000	22.2500	22.5000	22.7500	23.0000	23.2500	23.5000	23.7500	24.0000	24.2500	24.5000	24.7500	25.0000	25.1740
1	49.0000	64.0000	100.000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.00759224	0.0115408	0.0142939	0.0162898	0.0186486	0.0206769	0.0225525	0.0243007	0.0259514	0.0278282	0.0296645	0.0313836	0.0329347	0.0344718	0.0360337	0.0376236	0.0392016	0.0407345	0.0421903	0.0436697	0.0451788	0.0466011	0.0479761	0.0493975	0.0508303	0.0522393	0.0536345	0.0550431	0.0564135	0.0577365	0.0590540	0.0604019	0.0617485	0.0630448	0.0643801	0.0656784	0.0669368	0.0681884	0.0694475	0.0706935	0.0719210	0.0731492	0.0743382	0.0755263	0.0767045	0.0778461	0.0789505	0.0800205	0.0810286	0.0819826	0.0829137	0.0838151	0.0846657	0.0854665	0.0862181	0.0869136	0.0873523
2	75.0000	31.0000	100.000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0107470	0.0138378	0.0160758	0.0185450	0.0207190	0.0226991	0.0245587	0.0263089	0.0283028	0.0302371	0.0319809	0.0335985	0.0351722	0.0368491	0.0385250	0.0401539	0.0417032	0.0432363	0.0447938	0.0462929	0.0477281	0.0491902	0.0506732	0.0521328	0.0535749	0.0550276	0.0564409	0.0578053	0.0591675	0.0605669	0.0619620	0.0633268	0.0647182	0.0660717	0.0673982	0.0687360	0.0700684	0.0713876	0.0726959	0.0739679	0.0752221	0.0764687	0.0776619	0.0788146	0.0799351	0.0809969	0.0820038	0.0829938	0.0839521	0.0848581	0.0857145	0.0865179	0.0870346
3	12.0000	114.000	16.0000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0109754	0.0141684	0.0164392	0.0191200	0.0213716	0.0233396	0.0252997	0.0272815	0.0293155	0.0312458	0.0329582	0.0346394	0.0363602	0.0380990	0.0398008	0.0414218	0.0429974	0.0445824	0.0461114	0.0475554	0.0490004	0.0504568	0.0518786	0.0532616	0.0546244	0.0559406	0.0571802	0.0583748	0.0595551	0.0607486	0.0619065	0.0630043	0.0641131	0.0651931	0.0662219	0.0672236	0.0682203	0.0692085	0.0701799	0.0711313	0.0720641	0.0729895	0.0738642	0.0747061	0.0755343	0.0763271	0.0770749	0.0777761	0.0784281	0.0788589
4	66.0000	104.000	36.0000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.00600188	0.0116204	0.0148202	0.0173404	0.0199532	0.0222431	0.0243027	0.0262303	0.0284247	0.0305336	0.0323942	0.0341505	0.0359147	0.0377203	0.0394988	0.0412014	0.0428462	0.0445101	0.0461298	0.0476663	0.0492245	0.0508005	0.0523460	0.0538866	0.0554157	0.0568877	0.0583188	0.0597605	0.0612509	0.0626813	0.0641176	0.0655440	0.0669092	0.0682549	0.0696045	0.0709200	0.0721995	0.0734746	0.0746974	0.0759195	0.0771159	0.0782668	0.0793988	0.0804981	0.0815443	0.0825598	0.0835579	0.0842254
5	45.0000	28.0000	13.0000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.00994409	0.0137462	0.0163453	0.0192556	0.0217068	0.0238595	0.0259097	0.0281586	0.0303492	0.0322963	0.0341160	0.0359416	0.0378078	0.0396401	0.0413860	0.0430815	0.0447977	0.0464422	0.0480084	0.0496208	0.0512445	0.0528289	0.0544014	0.0559473	0.0574219	0.0588826	0.0603686	0.0618490	0.0632829	0.0647286	0.0661100	0.0674448	0.0687653	0.0700570	0.0713165	0.0725513	0.0737423	0.0748874	0.0760390	0.0771479	0.0782094	0.0792390	0.0802280	0.0811579	0.0817745
6	37.0000	32.0000	96.0000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.00922507	0.0133663	0.0161287	0.0190540	0.0215719	0.0237720	0.0258713	0.0281546	0.0303830	0.0323569	0.0342044	0.0360634	0.0379593	0.0398128	0.0415720	0.0432904	0.0450334	0.0466817	0.0482550	0.0499030	0.0515190	0.0530921	0.0546493	0.0561669	0.0576132	0.0590401	0.0604837	0.0619043	0.0632716	0.0646398	0.0659340	0.0671598	0.0683563	0.0695165	0.0706085	0.0716291	0.0725956	0.0734982	0.0743326	0.0751150	0.0758563	0.0765372	0.0771547	0.0775506
7	9.00000	137.000	58.0000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0108665	0.0144508	0.0170713	0.0198091	0.0221131	0.0241339	0.0259965	0.0280258	0.0299411	0.0316708	0.0332277	0.0347381	0.0362551	0.0377346	0.0391532	0.0404975	0.0417611	0.0429828	0.0441575	0.0452634	0.0462670	0.0472026	0.0480796	0.0489606	0.0497993	0.0506191	0.0513995	0.0521450	0.0528662	0.0535463	0.0542144	0.0548453	0.0554567	0.0560370	0.0565886	0.0571128	0.0576162	0.0580937	0.0585397	0.0589748	0.0593759	0.0597496	0.0600075
8	77.0000	48.0000	127.000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.00780853	0.0127754	0.0158335	0.0188221	0.0214578	0.0237464	0.0259181	0.0282835	0.0305774	0.0325868	0.0344849	0.0364142	0.0383614	0.0402513	0.0420284	0.0437912	0.0455805	0.0472358	0.0488650	0.0505173	0.0521273	0.0536956	0.0552630	0.0567476	0.0581667	0.0595662	0.0609900	0.0623533	0.0636740	0.0649594	0.0661654	0.0673047	0.0684167	0.0694806	0.0704908	0.0714492	0.0723596	0.0732230	0.0740156	0.0747585	0.0754639	0.0759181
9	2.00000	105.000	8.00000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.00846301	0.0130374	0.0158721	0.0185986	0.0209430	0.0229729	0.0248392	0.0265647	0.0283283	0.0299874	0.0314560	0.0327586	0.0339863	0.0351139	0.0362781	0.0373653	0.0384101	0.0394054	0.0403415	0.0412216	0.0420421	0.0428506	0.0436165	0.0443824	0.0451080	0.0457994	0.0464625	0.0471059	0.0477274	0.0483269	0.0489476	0.0495360	0.0501203	0.0506774	0.0512143	0.0517313	0.0522197	0.0526951	0.0531498	0.0535819	0.0538791
