time step	time (yr)	temp (°C)	Al eqm CAR (mol/cm^3)	Al in CAR (mol)	Al in CAP (mol)	Al in fluid (mol)	CAR (g)	CAP (g)	numPorph	Mean rxn aff (kJ/mol)
700000	14000000	535.000000	8.21326e-07	0.000393484	0.00399938	3.5719e-05	0.0813865	0.789293	231	4.13409
712500	14250000	535.000000	8.21326e-07	0.00027209	0.00412175	3.44599e-05	0.0562778	0.813444	232	3.23537
725000	14500000	535.000000	8.21326e-07	0.000185392	0.00420946	3.31712e-05	0.0383457	0.830754	233	2.28442
737500	14750000	535.000000	8.21326e-07	0.000127331	0.00426812	3.22929e-05	0.0263366	0.842331	234	1.62613
750000	15000000	535.000000	8.21326e-07	8.64531e-05	0.0043096	3.16937e-05	0.0178816	0.850516	234	1.1777
762500	15250000	535.000000	8.21326e-07	5.82443e-05	0.00433821	3.12889e-05	0.012047	0.856163	234	0.870627
775000	15500000	535.000000	8.21326e-07	3.7702e-05	0.00435904	3.10025e-05	0.00779811	0.860274	234	0.654632
787500	15750000	535.000000	8.21326e-07	2.31638e-05	0.00437384	3.07421e-05	0.0047911	0.863194	234	0.457086
800000	16000000	535.000000	8.21326e-07	1.35753e-05	0.0043836	3.05743e-05	0.00280786	0.86512	234	0.328636
812500	16250000	535.000000	8.21326e-07	6.99069e-06	0.0043903	3.045e-05	0.00144592	0.866444	234	0.233244
825000	16500000	535.000000	8.21326e-07	2.53618e-06	0.00439488	3.03285e-05	0.000524572	0.867347	234	0.139987
837500	16750000	535.000000	8.21326e-07	6.49194e-07	0.00439688	3.02115e-05	0.000134276	0.867742	234	0.0475978
850000	17000000	535.000000	8.21326e-07	1.81046e-09	0.00439758	3.01634e-05	3.74468e-07	0.86788	234	0.00889333
862500	17250000	535.000000	8.21326e-07	0	0.00439759	3.01528e-05	0	0.867882	234	4.9087e-10
862501	17250020	535.000000	8.21326e-07	0	0.00439759	3.01528e-05	0	0.867882	234	4.9087e-10
