time step	time (yr)	temp (°C)	Al eqm CAR (mol/cm^3)	Al in CAR (mol)	Al in CAP (mol)	Al in fluid (mol)	CAR (g)	CAP (g)	numPorph	Mean rxn aff (kJ/mol)
7625	15250000	511.250000	7.44856e-07	0.00595519	2.6186e-05	0.00286411	1.23174	0.00516791	10	7.06382
7750	15500000	512.500000	7.48064e-07	0.0059362	3.22236e-05	0.00287631	1.22782	0.00635945	12	7.18052
7875	15750000	513.750000	7.51278e-07	0.00591707	3.9036e-05	0.0028885	1.22386	0.00770391	12	7.29698
8000	16000000	515.000000	7.54497e-07	0.00589658	4.70734e-05	0.00290065	1.21962	0.00929013	14	7.41293
8125	16250000	516.250000	7.57722e-07	0.00587395	5.68506e-05	0.00291277	1.21494	0.0112197	18	7.52855
8250	16500000	517.500000	7.60952e-07	0.00584904	6.85927e-05	0.00292488	1.20979	0.013537	20	7.64387
8375	16750000	518.750000	7.64187e-07	0.00582341	8.1957e-05	0.00293693	1.20449	0.0161745	21	7.7586
8500	17000000	520.000000	7.67427e-07	0.0057959	9.73822e-05	0.0029489	1.1988	0.0192188	22	7.87245
8625	17250000	521.250000	7.70673e-07	0.0057659	0.000114961	0.00296085	1.19259	0.0226879	23	7.98606
8750	17500000	522.500000	7.73925e-07	0.0057341	0.000134514	0.00297275	1.18601	0.0265468	28	8.09903
8875	17750000	523.750000	7.77181e-07	0.00569765	0.000157722	0.00298447	1.17848	0.031127	30	8.2103
9000	18000000	525.000000	7.80443e-07	0.00565893	0.000184187	0.0029961	1.17047	0.0363501	34	8.32065
9125	18250000	526.250000	7.8371e-07	0.00561409	0.000215507	0.00300762	1.16119	0.0425312	42	8.4299
9250	18500000	527.500000	7.86982e-07	0.00556581	0.00025108	0.00301896	1.15121	0.0495517	46	8.53752
9375	18750000	528.750000	7.9026e-07	0.00551275	0.00029186	0.00303012	1.14023	0.0575996	52	8.64339
9500	19000000	530.000000	7.93542e-07	0.00545382	0.000338982	0.00304081	1.12804	0.0668995	55	8.74485
9625	19250000	531.250000	7.9683e-07	0.00538783	0.000392757	0.00305123	1.1144	0.0775122	64	8.84383
9750	19500000	532.500000	8.00123e-07	0.00531596	0.000453138	0.00306145	1.09953	0.0894285	66	8.94101
