time step	time (yr)	temp (°C)	Al eqm CAR (mol/cm^3)	Al in CAR (mol)	Al in CAP (mol)	Al in fluid (mol)	CAR (g)	CAP (g)	numPorph	Mean rxn aff (kJ/mol)
0	0	450.000000	5.60002e-07	0.0044627	0	0.00301529	0.923045	0	0	8.20915e-05
125	250000	452.500000	5.66942e-07	0.00442533	0	0.00305266	0.915316	0	0	0.282447
250	500000	455.000000	5.73927e-07	0.00438772	0	0.00309027	0.907536	0	0	0.565159
375	750000	457.500000	5.80959e-07	0.00434986	0	0.00312813	0.899705	0	0	0.848215
500	1000000	460.000000	5.88037e-07	0.00431175	0	0.00316624	0.891823	0	0	1.13161
625	1250000	462.500000	5.9516e-07	0.00427339	0	0.0032046	0.883889	0	0	1.41535
750	1500000	465.000000	6.02329e-07	0.00423479	0	0.0032432	0.875905	0	0	1.69942
875	1750000	467.500000	6.09545e-07	0.00419594	0	0.00328205	0.86787	0	0	1.98382
1000	2000000	470.000000	6.16805e-07	0.00415685	0	0.00332114	0.859783	0	0	2.26855
1125	2250000	472.500000	6.24112e-07	0.0041175	0	0.00336048	0.851646	0	0	2.55361
1250	2500000	475.000000	6.31464e-07	0.00407792	0	0.00340007	0.843458	0	0	2.83899
1375	2750000	477.500000	6.38861e-07	0.00403809	0	0.0034399	0.83522	0	0	3.1247
1500	3000000	480.000000	6.46304e-07	0.00399801	0	0.00347997	0.826931	0	0	3.41072
1625	3250000	482.500000	6.53792e-07	0.0039577	0	0.00352029	0.818592	0	0	3.69706
1750	3500000	485.000000	6.61325e-07	0.00391713	0	0.00356085	0.810202	0	0	3.98372
1875	3750000	487.500000	6.68903e-07	0.00387633	0	0.00360166	0.801763	0	0	4.27068
2000	4000000	490.000000	6.76526e-07	0.00383528	0	0.00364271	0.793273	0	0	4.55796
2125	4250000	492.500000	6.84194e-07	0.00379399	0	0.00368399	0.784733	0	0	4.84554
2250	4500000	495.000000	6.91907e-07	0.00375246	0	0.00372552	0.776143	0	0	5.13342
2375	4750000	497.500000	6.99665e-07	0.00371069	0	0.00376729	0.767503	0	0	5.42161
2500	5000000	500.000000	7.07467e-07	0.00366868	0	0.0038093	0.758814	0	0	5.71009
2625	5250000	502.500000	7.15314e-07	0.00362643	0	0.00385155	0.750075	0	0	5.99887
2750	5500000	505.000000	7.23205e-07	0.00358394	0	0.00389404	0.741287	0	0	6.28795
2875	5750000	507.500000	7.31141e-07	0.00354122	0	0.00393677	0.732449	0	0	6.57731
3000	6000000	510.000000	7.3912e-07	0.00349814	5.18327e-08	0.00397974	0.72354	1.02294e-05	1	6.86695
3125	6250000	512.500000	7.47144e-07	0.0034546	2.12573e-07	0.00402294	0.714534	4.1952e-05	1	7.15688
3250	6500000	515.000000	7.55212e-07	0.00341094	4.23633e-07	0.00406636	0.705503	8.36056e-05	1	7.44699
3375	6750000	517.500000	7.63324e-07	0.00336649	9.15654e-07	0.00411002	0.69631	0.000180708	3	7.73742
3500	7000000	520.000000	7.71479e-07	0.00332078	2.16142e-06	0.00415386	0.686855	0.000426565	5	8.02772
3625	7250000	522.500000	7.79679e-07	0.0032745	4.00677e-06	0.00419791	0.677282	0.000790752	6	8.31819
3750	7500000	525.000000	7.87921e-07	0.00322741	6.76999e-06	0.0042421	0.667543	0.00133608	10	8.60833
3875	7750000	527.500000	7.96208e-07	0.00317576	1.24143e-05	0.00428635	0.656859	0.00245001	15	8.89762
4000	8000000	530.000000	8.04537e-07	0.00312102	2.14812e-05	0.00433059	0.645538	0.00423939	20	9.18575
