Num ppbs	979
Nucl time (y)	Nucl temp (°C)	x (vox)	y (vox)	z (vox)	Vol (cm^3)	Ext Vol(cm^3)	Rxn affinity (kJ/mol)
3843200	473.432	126	129	140	0.000613669	0.000655613	6.50118
3845400	473.454	5	31	113	0.00274718	0.00275916	6.50492
3864800	473.648	84	110	134	0.00206073	0.00206073	6.46933
3882000	473.82	41	17	13	0.00454176	0.00454176	6.56719
3885600	473.856	106	8	93	0.00356789	0.00356789	6.57332
3908200	474.082	98	78	105	0.00230576	0.0023537	6.61177
3920000	474.2	110	137	132	0.00234976	0.00234976	6.63185
3927200	474.272	106	40	50	0.00485802	0.00486402	6.64411
3964600	474.646	103	47	126	0.00414438	0.00431815	6.70776
3975800	474.758	125	118	47	0.00611332	0.00611332	6.72682
3985000	474.85	14	18	107	0.00339434	0.00340034	6.74248
3994200	474.942	52	63	45	0.0022401	0.0022401	6.75814
4002000	475.02	20	59	38	0.00216554	0.00216554	6.77141
4023600	475.236	40	44	118	0.00247724	0.00267498	6.80818
4044400	475.444	33	111	28	0.00192534	0.00194331	6.84359
4052400	475.524	100	37	75	0.00389297	0.00389297	6.85721
4054600	475.546	134	87	51	0.00472504	0.00472504	6.86095
4081800	475.818	95	130	133	0.00304127	0.00304127	6.90726
4144800	476.448	84	3	19	0.00155438	0.00155438	6.95142
4150600	476.506	129	60	132	0.00493206	0.00493206	7.02441
4153400	476.534	44	117	53	0.00249637	0.00249637	7.02917
4157800	476.578	83	85	25	0.00165415	0.00165415	6.9168
4171600	476.716	17	127	36	0.00260718	0.00260718	7.06017
4188600	476.886	56	99	116	0.00107235	0.00107235	6.92438
4210800	477.108	7	114	22	0.00170828	0.00170828	7.12693
4212000	477.12	88	114	100	0.00193015	0.00193015	7.12897
4219200	477.192	80	126	45	0.00124587	0.00124587	6.87885
4226600	477.266	117	128	106	0.00469715	0.00469715	7.15384
4237200	477.372	102	130	56	0.00327603	0.00327603	7.17189
4238400	477.384	78	132	20	0.000845822	0.000845822	6.83357
4265800	477.658	18	84	113	0.00174177	0.00175375	7.22061
4277000	477.77	44	122	63	0.00254034	0.00254034	7.23968
4280200	477.802	51	133	9	0.00263576	0.00263576	7.24514
4287800	477.878	43	4	99	0.00248589	0.00248589	7.25808
4296400	477.964	70	122	85	0.00101264	0.00101264	6.78894
4348800	478.488	129	74	117	0.00443365	0.00443365	7.36201
4353000	478.53	82	7	92	0.00158677	0.00158677	7.19247
4374600	478.746	78	49	70	0.0014093	0.0014093	7.07686
4406600	479.066	74	116	96	0.000623262	0.000623262	6.9948
4417800	479.178	102	7	74	0.00328491	0.00330888	7.47958
4423800	479.238	57	92	12	0.000677353	0.000767233	7.3146
4447400	479.474	83	79	120	0.00144424	0.00144424	7.41229
4460200	479.602	74	101	69	0.000695743	0.000695743	7.05647
4460400	479.604	14	30	101	0.00270262	0.00270262	7.55218
4467200	479.672	136	98	77	0.00203583	0.00217963	7.56377
4492600	479.926	114	64	57	0.00329274	0.00362829	7.60706
4495800	479.958	2	50	29	0.00315027	0.00315027	7.61252
4504600	480.046	38	124	29	0.00257153	0.00257753	7.62752
4520200	480.202	11	108	101	0.00364068	0.00364068	7.65411
4534600	480.346	69	33	108	0.000655987	0.000655987	7.19318
4556200	480.562	92	25	87	0.00254211	0.00254211	7.71548
4591400	480.914	116	3	117	0.00205473	0.00205473	7.77549
4621200	481.212	7	51	92	0.00434349	0.00436146	7.8263
4621400	481.214	93	126	15	0.00375908	0.00375908	7.82664
4630200	481.302	113	63	29	0.00367054	0.0037724	7.84164
4681600	481.816	52	123	122	0.00112468	0.00112468	7.9293
4686400	481.864	29	138	44	0.00205277	0.00220257	7.93748
4688800	481.888	26	67	39	0.00232954	0.00232954	7.94157
4705600	482.056	71	113	101	0.000611566	0.000611566	7.29443
4710400	482.104	51	13	122	0.00128226	0.00131222	7.97841
4718200	482.182	4	52	72	0.00416338	0.00416338	7.99172
4724400	482.244	8	65	64	0.00371689	0.00371689	8.00229
4752200	482.522	79	44	108	0.000654738	0.000654738	7.74809
4761600	482.616	69	13	129	0.000631144	0.000631144	7.46624
4809600	483.096	16	139	75	0.00173872	0.00215216	8.14762
