Num ppbs	200
Nucl time (y)	Nucl temp (°C)	x (vox)	y (vox)	z (vox)	Vol (cm^3)	Ext Vol(cm^3)	Rxn affinity (kJ/mol)
9674000	535	18	1	101	0.000303529	0.000303529	9.77894
9678000	535	105	91	72	0.000583091	0.000583091	9.77894
9678000	535	9	59	113	0.000689356	0.000689356	9.77894
9750000	535	50	7	43	0.000782533	0.000782533	9.77894
9818000	535	53	134	94	0.000354165	0.000354165	9.65952
9822000	535	5	77	46	0.000690775	0.000690775	9.77894
9830000	535	55	84	11	0.000722628	0.000722628	9.77894
9850000	535	132	119	96	0.00047352	0.00047352	9.77894
9866000	535	122	66	30	0.000897389	0.000897389	9.77894
9868000	535	69	129	130	0.000284568	0.000284568	9.0564
9940000	535	62	81	40	0.000595063	0.000595063	9.77894
9992000	535	38	51	11	0.000574791	0.000574791	9.77894
10048000	535	72	134	138	0.000161161	0.000161161	9.77894
10066000	535	54	63	30	0.000641684	0.000641684	9.77894
10104000	535	61	105	121	0.000618605	0.000618605	9.77894
10106000	535	113	56	14	0.000611669	0.000611669	9.77894
10152000	535	4	33	2	0.000383367	0.000383367	9.77894
10186000	535	119	130	132	0.00066707	0.00066707	9.77894
10188000	535	65	90	85	0.000647929	0.000647929	9.77894
10192000	535	16	132	125	0.000334067	0.000334067	9.77894
10198000	535	112	49	74	0.000539059	0.000539059	9.67973
10202000	535	60	88	18	0.000529881	0.000529881	9.77894
10272000	535	37	125	15	0.00053219	0.00053219	9.77894
10290000	535	75	50	94	0.000839599	0.000839599	9.77894
10302000	535	74	81	107	0.000809953	0.000809953	9.77894
10304000	535	76	93	80	0.000468429	0.000468429	9.77894
10356000	535	98	62	40	0.000459735	0.000459735	9.77894
10436000	535	138	107	18	0.000371736	0.000371736	9.77894
10466000	535	112	42	57	0.000608439	0.000608439	9.77894
10476000	535	20	129	84	0.0003077	0.0003077	9.77894
10486000	535	39	27	114	0.000353028	0.000353028	9.77894
10490000	535	78	115	70	0.000317907	0.000317907	9.77894
10500000	535	72	138	68	0.000175562	0.000175562	9.77894
10512000	535	73	120	81	0.000333632	0.000333632	9.77894
10532000	535	110	87	86	0.000562093	0.000562093	9.77894
10554000	535	42	24	123	0.000219544	0.000219544	9.09496
10556000	535	42	24	67	0.00033589	0.00033589	9.54356
10580000	535	21	69	69	0.000289691	0.000289691	9.08299
10684000	535	98	86	29	0.000537355	0.000537355	9.77894
10752000	535	6	5	59	0.000546957	0.000546957	9.77894
10776000	535	97	50	32	0.000175733	0.000195032	7.57419
10792000	535	75	14	27	0.000377645	0.000377645	9.59968
10800000	535	116	63	103	0.000419138	0.000419138	9.60091
10866000	535	18	72	122	0.000529853	0.000529853	9.77894
10866000	535	76	35	77	0.000500263	0.000500263	9.77894
10874000	535	77	55	46	0.000451013	0.000451013	9.77894
10880000	535	108	101	43	0.000594898	0.000594898	9.77894
10898000	535	10	138	88	0.000152421	0.000152421	9.77894
10900000	535	75	30	9	0.000653093	0.000653093	9.77894
10952000	535	128	101	98	0.000496399	0.000496399	9.77894
11034000	535	104	50	54	0.000297375	0.000297375	9.77894
11064000	535	20	71	14	0.000574892	0.000574892	9.77894
11094000	535	95	2	79	0.000296809	0.000296809	9.77894
11108000	535	103	9	73	0.000471623	0.000471623	9.77894
11114000	535	136	75	135	0.000257909	0.000257909	9.77894
11120000	535	49	25	47	0.000274789	0.000274789	9.27911
11162000	535	42	56	100	0.000523167	0.000523167	9.77894
11198000	535	52	24	39	0.00036034	0.00036034	9.77894
11220000	535	46	66	52	0.000440683	0.000440683	9.77894
11274000	535	67	66	64	0.000468437	0.000468437	9.77894
11298000	535	67	5	19	0.000290943	0.000290943	9.77894
11304000	535	79	50	26	0.000434064	0.000434064	9.77894
11328000	535	15	118	118	0.000232794	0.000232794	9.77894
11384000	535	118	80	26	0.000389587	0.000389587	9.77894
11404000	535	4	23	57	0.0004096	0.0004096	9.77894
11424000	535	99	65	34	0.000147398	0.000147398	8.59524
11432000	535	93	118	65	0.000132303	0.000132303	9.77894
11434000	535	11	63	3	0.00037368	0.00037368	9.77894
11494000	535	62	73	1	0.000188382	0.000188382	9.77894
11540000	535	52	127	2	0.000284398	0.000284398	9.77894
11610000	535	112	30	132	0.000334405	0.000334405	9.77894
11620000	535	91	90	101	0.000352678	0.000352678	9.77894
11650000	535	48	70	137	0.000199969	0.000199969	9.56215
11676000	535	69	112	104	0.000225723	0.000225723	9.77894
11692000	535	85	97	105	0.000302666	0.000302666	9.77894
11702000	535	54	89	72	0.000297243	0.000297243	9.77894
11728000	535	93	7	46	0.000269804	0.000269804	9.77894
11740000	535	37	71	89	0.000193368	0.000193368	8.59182
11756000	535	96	67	82	0.000228445	0.000228445	9.42218
11776000	535	89	37	52	0.000236709	0.000236709	9.77894
11820000	535	136	2	32	0.000140426	0.000140426	9.77894
11836000	535	6	131	5	0.00014491	0.00014491	9.69003
11842000	535	122	73	56	0.000552192	0.000552192	9.77894
11884000	535	87	67	66	0.000149301	0.000149301	8.91759
12058000	535	19	40	27	0.000368764	0.000368764	9.77894
12072000	535	60	48	14	0.000326306	0.000326306	9.77894
12078000	535	41	77	43	0.000176278	0.000176278	9.77894
12104000	535	98	31	1	0.000126898	0.000126898	9.77894
12160000	535	136	54	1	0.000111343	0.000111343	9.77894
12168000	535	118	41	11	0.000104192	0.000104192	8.46556
12182000	535	105	116	136	0.000247305	0.000247305	9.77894
12210000	535	91	118	78	8.29631e-05	8.29631e-05	9.77894
12254000	535	48	93	61	0.000162089	0.000162089	9.77894
12308000	535	128	29	127	0.000548943	0.000548943	9.77894
12310000	535	24	101	65	0.000114684	0.000114684	8.99572
12352000	535	4	114	33	0.000130182	0.000130182	9.05782
12472000	535	1	69	115	5.27828e-05	5.27828e-05	7.73268
12524000	535	135	47	1	5.365e-05	5.365e-05	9.77894
12616000	535	27	110	130	7.05296e-05	7.05296e-05	9.77894
12628000	535	81	99	28	0.00013161	0.00013161	9.77894
12814000	535	121	57	12	5.50953e-05	5.50953e-05	6.65077
12850000	535	78	67	130	0.000167861	0.000167861	9.77894
12864000	535	67	27	100	0.000149161	0.000149161	9.77894
12926000	535	108	121	53	8.80873e-05	8.80873e-05	7.9517
13022000	535	7	86	69	5.23642e-05	5.23642e-05	9.77894
13060000	535	16	14	81	0.00012731	0.00012731	8.94494
13136000	535	66	11	17	4.22073e-05	4.22073e-05	6.11612
13250000	535	120	66	137	8.2707e-05	8.2707e-05	8.27723
14364000	535	130	7	131	0.000171099	0.000171099	9.28108
14510000	535	9	39	121	4.85337e-05	4.85337e-05	7.10002
