Porphyroblast growth histories for: 
C:\Users\Eric\xllize1.4\runsPM3\PM3_150728_2021\PM3_150728_2021
Xl Num	X	Y	Z	0.000000	0.250000	0.500000	0.750000	1.00000	1.25000	1.50000	1.75000	2.00000	2.25000	2.50000	2.75000	3.00000	3.25000	3.50000	3.75000	4.00000	4.25000	4.50000	4.75000	5.00000	5.25000	5.50000	5.75000	6.00000	6.25000	6.50000	6.75000	7.00000	7.25000	7.50000	7.75000	8.00000	8.25000	8.50000	8.75000	9.00000	9.25000	9.50000	9.75000	10.0000	10.2500	10.5000	10.7500	11.0000	11.2500	11.5000	11.7500	12.0000	12.2500	12.5000	12.7500	13.0000	13.2500	13.5000	13.7500	14.0000	14.2500	14.5000	14.7500	15.0000	15.2500	15.5000	15.7500	16.0000	16.2500	16.5000	16.7500	17.0000	17.2500	17.5000	17.7500	18.0000	18.2500	18.5000	18.7500	19.0000	19.2500	19.5000	19.7500	19.7520
1	60.0000	27.0000	59.0000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.00705850	0.0112983	0.0142181	0.0164527	0.0192907	0.0218428	0.0242765	0.0267952	0.0296113	0.0322764	0.0348110	0.0374522	0.0399384	0.0421447	0.0442598	0.0462234	0.0479936	0.0497323	0.0514189	0.0529988	0.0544956	0.0559057	0.0571850	0.0583653	0.0594848	0.0605680	0.0615789	0.0624973	0.0633471	0.0641340	0.0648617	0.0655021	0.0660544	0.0665115	0.0668708	0.0671473	0.0673628	0.0675239	0.0676434	0.0677320	0.0677977	0.0678467	0.0678833	0.0679109	0.0679320	0.0679478	0.0679602	0.0679697	0.0679771	0.0679830	0.0679876	0.0679912	0.0679940	0.0679964	0.0679981	0.0679997	0.0679997
2	124.000	72.0000	115.000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.00980819	0.0137766	0.0166309	0.0199843	0.0229459	0.0258137	0.0290950	0.0322756	0.0351563	0.0381223	0.0408540	0.0433752	0.0458312	0.0480470	0.0502761	0.0523777	0.0544027	0.0563015	0.0580387	0.0596974	0.0613415	0.0628248	0.0642461	0.0655703	0.0667874	0.0679375	0.0690275	0.0700426	0.0709664	0.0717942	0.0725371	0.0731866	0.0737327	0.0741831	0.0745456	0.0748295	0.0750549	0.0752377	0.0753804	0.0754924	0.0755808	0.0756508	0.0757067	0.0757513	0.0757874	0.0758166	0.0758403	0.0758596	0.0758751	0.0758877	0.0758978	0.0759059	0.0759124	0.0759126
3	76.0000	41.0000	122.000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.00934224	0.0135178	0.0164173	0.0197980	0.0227879	0.0256714	0.0289248	0.0321446	0.0350398	0.0379946	0.0407207	0.0432181	0.0456255	0.0477716	0.0498568	0.0518334	0.0536568	0.0554031	0.0569907	0.0584616	0.0598902	0.0612689	0.0625282	0.0637112	0.0648229	0.0658333	0.0667517	0.0675897	0.0683409	0.0690066	0.0695664	0.0700239	0.0703912	0.0706834	0.0709105	0.0710870	0.0712246	0.0713340	0.0714202	0.0714886	0.0715434	0.0715875	0.0716232	0.0716524	0.0716762	0.0716959	0.0717121	0.0717254	0.0717364	0.0717454	0.0717527	0.0717587	0.0717633	0.0717635
4	59.0000	122.000	91.0000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0115686	0.0152309	0.0185465	0.0217573	0.0247507	0.0279510	0.0313260	0.0343109	0.0372197	0.0400423	0.0426055	0.0451099	0.0474032	0.0496082	0.0517679	0.0538021	0.0557511	0.0575182	0.0591948	0.0608296	0.0623453	0.0637351	0.0650100	0.0661160	0.0670663	0.0678781	0.0685551	0.0691034	0.0695300	0.0698500	0.0700846	0.0702570	0.0703864	0.0704823	0.0705532	0.0706058	0.0706447	0.0706737	0.0706954	0.0707116	0.0707237	0.0707328	0.0707396	0.0707449	0.0707488	0.0707517	0.0707539	0.0707557	0.0707569	0.0707579	0.0707587	0.0707593	0.0707593
5	58.0000	21.0000	67.0000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.00948350	0.0139172	0.0170957	0.0204746	0.0234079	0.0262783	0.0295207	0.0323661	0.0348216	0.0372558	0.0395655	0.0416428	0.0436067	0.0455180	0.0472239	0.0488499	0.0504268	0.0518944	0.0532696	0.0545754	0.0557892	0.0568846	0.0578948	0.0588453	0.0597325	0.0605891	0.0613595	0.0620452	0.0626394	0.0631439	0.0635700	0.0639018	0.0641617	0.0643621	0.0645143	0.0646290	0.0647155	0.0647816	0.0648320	0.0648710	0.0649012	0.0649248	0.0649435	0.0649584	0.0649703	0.0649799	0.0649874	0.0649937	0.0649987	0.0650029	0.0650061	0.0650089	0.0650089
6	38.0000	16.0000	94.0000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0114723	0.0154690	0.0191199	0.0225096	0.0256911	0.0292846	0.0325638	0.0354530	0.0383040	0.0409042	0.0432500	0.0454935	0.0474925	0.0493959	0.0512345	0.0529475	0.0545363	0.0559817	0.0572674	0.0584469	0.0595433	0.0605728	0.0615128	0.0623623	0.0631314	0.0638495	0.0644877	0.0650462	0.0655223	0.0659140	0.0662296	0.0664797	0.0666732	0.0668226	0.0669373	0.0670251	0.0670925	0.0671441	0.0671836	0.0672139	0.0672374	0.0672553	0.0672692	0.0672801	0.0672885	0.0672950	0.0673003	0.0673044	0.0673079	0.0673105	0.0673126	0.0673126
7	13.0000	50.0000	53.0000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.00674182	0.0135997	0.0177023	0.0217443	0.0253330	0.0290732	0.0324070	0.0353135	0.0382364	0.0408756	0.0432515	0.0455308	0.0475852	0.0495699	0.0514891	0.0532750	0.0549980	0.0566126	0.0580932	0.0594852	0.0608406	0.0620768	0.0632022	0.0642601	0.0652006	0.0660250	0.0667465	0.0673844	0.0679345	0.0683986	0.0687653	0.0690503	0.0692643	0.0694243	0.0695442	0.0696352	0.0697036	0.0697545	0.0697924	0.0698206	0.0698415	0.0698572	0.0698688	0.0698774	0.0698839	0.0698887	0.0698922	0.0698950	0.0698970	0.0698984	0.0698984
8	37.0000	138.000	35.0000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.00622760	0.0133107	0.0170049	0.0206679	0.0237934	0.0266810	0.0294858	0.0319146	0.0340383	0.0360687	0.0380491	0.0399285	0.0416586	0.0432987	0.0448776	0.0463034	0.0475805	0.0487528	0.0498117	0.0507392	0.0515157	0.0521560	0.0526909	0.0531276	0.0534807	0.0537720	0.0540144	0.0542115	0.0543734	0.0545071	0.0546174	0.0547081	0.0547827	0.0548440	0.0548939	0.0549342	0.0549667	0.0549925	0.0550127	0.0550283	0.0550404	0.0550497	0.0550568	0.0550622	0.0550664	0.0550695	0.0550719	0.0550737	0.0550751	0.0550762	0.0550762
9	132.000	25.0000	17.0000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.00608871	0.0134223	0.0175470	0.0216315	0.0252409	0.0289581	0.0322947	0.0351254	0.0379898	0.0405861	0.0429487	0.0452137	0.0472552	0.0492075	0.0510949	0.0528625	0.0545161	0.0560382	0.0574050	0.0586828	0.0598820	0.0609924	0.0619684	0.0628016	0.0635380	0.0641582	0.0646882	0.0651174	0.0654601	0.0657327	0.0659497	0.0661225	0.0662602	0.0663711	0.0664592	0.0665293	0.0665850	0.0666293	0.0666650	0.0666935	0.0667165	0.0667351	0.0667503	0.0667628	0.0667730	0.0667814	0.0667881	0.0667937	0.0667983	0.0668019	0.0668019
