time step	time (yr)	temp (°C)	Al eqm CAR (mol/cm^3)	Al in CAR (mol)	Al in CAP (mol)	Al in fluid (mol)	CAR (g)	CAP (g)	numPorph	Mean rxn aff (kJ/mol)
27500	5500000	490.000000	1.07622e-06	0.0278035	7.90655e-05	0.00029413	8.4	0.0219881	218	9.24263
28000	5600000	491.000000	1.08823e-06	0.0277841	8.85179e-05	0.000297371	8.39412	0.0246168	221	9.4112
28500	5700000	492.000000	1.10035e-06	0.0277638	9.90058e-05	0.000300601	8.38801	0.0275335	229	9.57781
29000	5800000	493.000000	1.11258e-06	0.0277428	0.000110494	0.000303785	8.38166	0.0307284	236	9.74084
29500	5900000	494.000000	1.12492e-06	0.0277208	0.000122973	0.000307027	8.375	0.0341987	244	9.90548
30000	6000000	495.000000	1.13736e-06	0.0276975	0.000136644	0.000310298	8.36796	0.0380006	254	10.0703
30500	6100000	496.000000	1.14991e-06	0.0276731	0.000151366	0.000313559	8.36061	0.0420948	256	10.2334
31000	6200000	497.000000	1.16257e-06	0.0276478	0.000167239	0.000316843	8.35297	0.0465092	263	10.3962
31500	6300000	498.000000	1.17534e-06	0.0276214	0.000184561	0.000320147	8.34498	0.0513265	273	10.5587
32000	6400000	499.000000	1.18822e-06	0.0275934	0.000203658	0.000323385	8.33653	0.0566374	283	10.7169
32500	6500000	500.000000	1.20121e-06	0.0275637	0.000224579	0.000326654	8.32753	0.0624554	294	10.8753
33000	6600000	501.000000	1.21431e-06	0.0275313	0.000247805	0.000329957	8.31775	0.0689145	308	11.034
33500	6700000	502.000000	1.22753e-06	0.0274953	0.000274234	0.000333298	8.30687	0.0762646	318	11.1932
34000	6800000	503.000000	1.24085e-06	0.0274546	0.000304762	0.000336721	8.29459	0.0847544	330	11.355
34500	6900000	504.000000	1.25429e-06	0.0274094	0.000339248	0.00034012	8.28094	0.0943448	342	11.5144
35000	7000000	505.000000	1.26785e-06	0.0273599	0.000377723	0.000343521	8.26596	0.105045	352	11.6727
35500	7100000	506.000000	1.28152e-06	0.0273069	0.000419808	0.000347005	8.24997	0.116749	358	11.8336
36000	7200000	507.000000	1.29531e-06	0.0272505	0.00046598	0.000350428	8.23291	0.129589	369	11.9903
36500	7300000	508.000000	1.30921e-06	0.0271892	0.000517153	0.000353791	8.2144	0.14382	380	12.1431
37000	7400000	509.000000	1.32323e-06	0.0271226	0.000574132	0.000357173	8.19428	0.159666	389	12.2955
37500	7500000	510.000000	1.33737e-06	0.0270509	0.00063694	0.000360489	8.17263	0.177133	397	12.4438
38000	7600000	511.000000	1.35162e-06	0.0269742	0.00070515	0.000363779	8.14945	0.196102	406	12.59
38500	7700000	512.000000	1.366e-06	0.0268913	0.000779009	0.000367131	8.12441	0.216642	416	12.738
39000	7800000	513.000000	1.38049e-06	0.0268023	0.000859295	0.000370475	8.0975	0.23897	422	12.8842
39500	7900000	514.000000	1.39511e-06	0.0267054	0.000947486	0.000373841	8.06822	0.263496	428	13.0301
40000	8000000	515.000000	1.40984e-06	0.0265992	0.00104493	0.000377062	8.03614	0.290595	439	13.1684
40500	8100000	516.000000	1.4247e-06	0.0264824	0.0011525	0.000380305	8.00087	0.320511	452	13.3069
41000	8200000	517.000000	1.43968e-06	0.0263564	0.00126896	0.000383617	7.9628	0.352898	462	13.4475
41500	8300000	518.000000	1.45478e-06	0.0262211	0.0013951	0.000386921	7.92193	0.387977	467	13.5863
42000	8400000	519.000000	1.47001e-06	0.0260709	0.00153652	0.000390012	7.87653	0.427307	481	13.7137
42500	8500000	520.000000	1.48536e-06	0.0259042	0.00169452	0.000393164	7.82619	0.471247	486	13.8432
43000	8600000	521.000000	1.50084e-06	0.0257244	0.00186626	0.000396327	7.77186	0.519007	491	13.9719
43500	8700000	522.000000	1.51644e-06	0.0255259	0.00205746	0.000399295	7.7119	0.572181	498	14.0902
44000	8800000	523.000000	1.53217e-06	0.0253077	0.00226851	0.000402286	7.64598	0.630872	507	14.2097
44500	8900000	524.000000	1.54802e-06	0.025073	0.00249611	0.000405197	7.57506	0.694169	514	14.3246
45000	9000000	525.000000	1.56401e-06	0.0248201	0.00274155	0.000408024	7.49864	0.762424	526	14.435
45500	9100000	526.000000	1.58012e-06	0.0245461	0.00300714	0.000410723	7.41586	0.836286	536	14.5391
46000	9200000	527.000000	1.59637e-06	0.0242511	0.00329313	0.000413268	7.32675	0.91582	546	14.6358
46500	9300000	528.000000	1.61274e-06	0.0239348	0.003601	0.000415835	7.23118	1.00144	555	14.7324
47000	9400000	529.000000	1.62924e-06	0.023592	0.00393443	0.000418067	7.12761	1.09417	570	14.8131
47500	9500000	530.000000	1.64588e-06	0.0232235	0.00429471	0.000420051	7.01627	1.19436	576	14.8828
48000	9600000	531.000000	1.66264e-06	0.0228275	0.00468399	0.000421698	6.89665	1.30262	587	14.9351
48500	9700000	532.000000	1.67954e-06	0.0223962	0.00510815	0.000423119	6.76634	1.42058	598	14.9776
49000	9800000	533.000000	1.69658e-06	0.0219333	0.00556338	0.000424465	6.62648	1.54717	608	15.0166
49500	9900000	534.000000	1.71375e-06	0.0214352	0.0060541	0.000425589	6.476	1.68365	617	15.0453
50000	10000000	535.000000	1.73105e-06	0.0209048	0.00657821	0.000426421	6.31576	1.8294	628	15.0615
50500	10100000	535.000000	1.7316e-06	0.0203579	0.0071229	0.00042338	6.15052	1.98088	634	14.9265
51000	10200000	535.000000	1.73216e-06	0.0198007	0.00767887	0.000420051	5.9822	2.13549	647	14.7768
51500	10300000	535.000000	1.73271e-06	0.0192313	0.00824664	0.000416685	5.81017	2.29339	655	14.6248
52000	10400000	535.000000	1.73326e-06	0.0186525	0.00882401	0.000413242	5.63529	2.45396	663	14.4693
52500	10500000	535.000000	1.73382e-06	0.0180678	0.00940747	0.000409562	5.45864	2.61622	673	14.3021
53000	10600000	535.000000	1.73437e-06	0.0174813	0.00999265	0.000405822	5.28145	2.77896	682	14.1318
