Num ppbs	195
Nucl time (y)	Nucl temp (°C)	x (vox)	y (vox)	z (vox)	Vol (cm^3)	Ext Vol(cm^3)	Rxn affinity (kJ/mol)
11164000	490.82	49	64	100	0.00279198	0.00279198	5.15047
12002000	495.01	75	31	100	0.00276162	0.00276162	5.54266
12752000	498.76	12	114	16	0.00205419	0.00205419	5.89427
13470000	502.35	66	104	36	0.00250275	0.00250275	6.23142
14088000	505.44	45	28	13	0.00229056	0.00229056	6.52204
14376000	506.88	37	32	96	0.00195364	0.00195364	6.6576
14542000	507.71	9	137	58	0.000905117	0.000905117	6.73577
14932000	509.66	77	48	127	0.00183284	0.00183284	6.91954
15162000	510.81	2	105	8	0.000655163	0.000655163	7.02799
15172000	510.86	29	120	75	0.00165387	0.00165387	7.0327
15274000	511.37	118	21	55	0.00208066	0.00208066	7.08082
15352000	511.76	115	3	22	0.00128228	0.00128228	7.11761
15782000	513.91	43	125	53	0.00178423	0.00178423	7.32058
15952000	514.76	127	38	118	0.00167174	0.00167174	7.40088
16042000	515.21	6	79	56	0.00144912	0.00144912	7.4434
16134000	515.67	20	128	68	0.000960964	0.000960964	7.48687
16152000	515.76	99	116	53	0.00179966	0.00179966	7.49537
16250000	516.25	133	89	100	0.00107419	0.00108545	7.54169
16278000	516.39	6	134	80	0.00072981	0.00072981	7.55493
16298000	516.49	127	95	95	0.0012761	0.00129379	7.56438
16608000	518.04	54	101	80	0.00150524	0.00150524	7.71098
16994000	519.97	102	75	96	0.00169292	0.00169292	7.89364
17072000	520.36	17	44	47	0.00173112	0.00173112	7.93056
17392000	521.96	73	36	9	0.00133564	0.00133564	8.08212
17430000	522.15	39	31	114	0.00131661	0.00131661	8.10013
17482000	522.41	101	88	73	0.00149513	0.00149513	8.12477
17482000	522.41	96	14	79	0.00124692	0.00124852	8.12477
17486000	522.43	56	54	61	0.00129903	0.00129903	8.12666
17532000	522.66	93	94	53	0.00127577	0.00127577	8.14846
17576000	522.88	31	93	67	0.00130211	0.00130211	8.16932
17802000	524.01	6	79	31	0.00113458	0.00113458	8.27645
17908000	524.54	121	118	73	0.00122088	0.00122088	8.32672
17918000	524.59	56	43	82	0.00115017	0.00115017	8.33146
17926000	524.63	40	101	120	0.00149811	0.00149811	8.33526
18006000	525.03	94	68	132	0.0011317	0.00114778	8.3732
