Crystallize 1.4 log for model PM4_120619_1554_rnd1
Run began at: Thu Jul 19 23:11:03 2012

courant = 0.846364

Random seed used = -1340438188

Time = 8000000.000000, delC = 8.49841e-07, NuclRate = 1.3593e-13
Uncompensated deficit of 5.20142e-10 g at index (53,28,118) at time 8.099 m.y.
Time = 8100000.000000, delC = 8.64698e-07, NuclRate = 1.36277e-13
Uncompensated deficit of 9.95842e-10 g at index (9,102,20) at time 8.146 m.y.
Time = 8200000.000000, delC = 8.79678e-07, NuclRate = 1.36614e-13
Time = 8300000.000000, delC = 8.94781e-07, NuclRate = 1.36939e-13
Uncompensated deficit of 3.63083e-09 g at index (112,90,16) at time 8.368 m.y.
Time = 8400000.000000, delC = 9.10008e-07, NuclRate = 1.37255e-13
Uncompensated deficit of 1.28129e-09 g at index (123,126,138) at time 8.419 m.y.
Uncompensated deficit of 2.34665e-09 g at index (123,127,137) at time 8.421 m.y.
Time = 8500000.000000, delC = 9.2536e-07, NuclRate = 1.3756e-13
Uncompensated deficit of 6.82172e-10 g at index (122,127,138) at time 8.500 m.y.
Uncompensated deficit of 4.85671e-09 g at index (29,105,30) at time 8.537 m.y.
Time = 8600000.000000, delC = 9.40836e-07, NuclRate = 1.37857e-13
Uncompensated deficit of 3.38067e-10 g at index (53,54,130) at time 8.618 m.y.
Uncompensated deficit of 2.93342e-09 g at index (122,106,123) at time 8.697 m.y.
Time = 8700000.000000, delC = 9.56439e-07, NuclRate = 1.38144e-13
Uncompensated deficit of 4.8921e-09 g at index (123,107,123) at time 8.747 m.y.
Uncompensated deficit of 3.23987e-09 g at index (18,44,53) at time 8.762 m.y.
Time = 8800000.000000, delC = 9.72168e-07, NuclRate = 1.38423e-13
Uncompensated deficit of 4.95629e-09 g at index (51,121,117) at time 8.805 m.y.
Uncompensated deficit of 3.54986e-09 g at index (17,45,52) at time 8.808 m.y.
Uncompensated deficit of 3.87868e-09 g at index (46,33,19) at time 8.899 m.y.
Time = 8900000.000000, delC = 9.88025e-07, NuclRate = 1.38693e-13
