Num ppbs	234
Nucl time (y)	Nucl temp (°C)	x (vox)	y (vox)	z (vox)	Vol (cm^3)	Ext Vol(cm^3)	Rxn affinity (kJ/mol)
9549500	535	28	119	35	0.000745233	0.000745233	9.77894
9574260	535	57	93	124	0.000389146	0.000389146	9.77894
9577020	535	8	120	64	0.000678652	0.000678652	9.77894
9582900	535	25	92	81	0.000600833	0.000600833	9.77894
9583600	535	3	50	25	0.000609423	0.000609423	9.77894
9586800	535	72	81	56	0.000399346	0.000399346	9.77894
9594520	535	95	139	11	0.000406652	0.000406652	9.77894
9642220	535	33	114	131	0.0002446	0.0002446	9.77894
9663460	535	5	36	127	0.000635974	0.000635974	9.77894
9665560	535	9	47	88	0.000604172	0.000604172	9.77894
9666660	535	33	120	67	0.000563334	0.000563334	9.77894
9678400	535	106	89	54	0.000382903	0.000382903	9.77894
9719060	535	52	106	117	0.000246898	0.000246898	9.77894
9729500	535	17	62	11	0.000430718	0.000430718	9.77894
9781500	535	124	47	2	0.000374477	0.000374477	9.77894
9808360	535	77	84	105	0.000616489	0.000616489	9.77894
9863700	535	131	55	19	0.00062411	0.00062411	9.77894
9878980	535	119	73	29	0.000658269	0.000658269	9.77894
9890320	535	82	114	20	0.000682058	0.000682058	9.77894
9907400	535	26	73	65	0.000587771	0.000587771	9.77894
9910540	535	84	29	136	0.000340037	0.000340037	9.77894
9919600	535	136	56	77	0.000408308	0.000408308	9.77894
9939900	535	79	92	81	0.000542847	0.000542847	9.77894
9944040	535	127	107	49	0.000544352	0.000544352	9.77894
9955800	535	117	56	27	0.0005427	0.0005427	9.77894
9972460	535	84	38	133	0.000373771	0.000373771	9.77894
9979580	535	105	118	57	0.000648136	0.000648136	9.77894
10013360	535	72	33	16	0.000402728	0.000426852	9.77894
10034620	535	15	93	78	0.000427559	0.000427559	9.77894
10052980	535	90	79	74	0.000495813	0.000495813	9.77894
10126280	535	52	57	5	0.000633821	0.000633821	9.77894
10204360	535	116	10	41	0.000351179	0.000351179	9.77894
10253880	535	15	22	67	0.000448165	0.000448165	9.77894
10273620	535	107	74	124	0.0001789	0.0001789	9.15801
10326540	535	54	29	51	0.000787168	0.000787168	9.77894
10326900	535	99	52	32	0.000562203	0.000562203	9.77894
10356320	535	139	112	31	0.000386766	0.000386766	9.77894
10357140	535	5	123	124	0.000424716	0.000424716	9.77894
10375920	535	101	41	93	0.000231008	0.000240658	8.61597
10380100	535	91	10	4	0.000406606	0.000406606	9.77894
10448900	535	17	98	72	0.000287763	0.000287763	9.77894
10467740	535	25	29	73	0.000353789	0.000353789	9.77894
10483100	535	118	117	8	0.000858513	0.000858513	9.77894
10495820	535	83	59	71	0.000269396	0.000269396	9.49739
10526080	535	130	1	71	0.000172973	0.000172973	9.77894
10527440	535	7	90	28	0.000753671	0.000753671	9.77894
10535260	535	94	136	41	0.000386018	0.000386018	9.77894
10551900	535	52	90	62	0.000179541	0.000179541	9.77894
10599200	535	83	130	53	0.000539715	0.000539715	9.77894
10606600	535	95	82	100	0.000484392	0.000484392	9.77894
